It Wasn't Me - Shaggy,Evergreen - Will Young,Where Is the Love? - The Black Eyed Peas,Do They Know It's Christmas? - Band Aid 20
Pure and Simple - Hear'Say,Unchained Melody - Gareth Gates,Spirit in the Sky - Gareth Gates & The Kumars,F**k It (I Don't Want You Back) - Eamon
Can't Get You Out of My Head - Kylie Minogue,Hero - Enrique Iglesias,Ignition (Remix) - R Kelly,Cha Cha Slide - DJ Casper
Whole Again - Atomic Kitten,Dilemma - Nelly ft Kelly Rowland,Mad World - Michael Andrews ft Gary Jules,Call on Me - Eric Prydz
Hey Baby - DJ Ötzi,A Little Less Conversation - Elvis vs JXL,Leave Right Now - Will Young,Yeah! - Usher ft Lil' Jon & Ludacris
(Is This The Way To) Amarillo - Tony Christie,Crazy - Gnarls Barkley,Bleeding Love - Leona Lewis,Hallelujah - Alexandra Burke
That's My Goal - Shayne Ward,A Moment Like This - Leona Lewis,Umbrella - Rihanna ft Jay-Z,Hero - The X Factor Finalists
Axel F - Crazy Frog,Hips Don't Lie - Shakira ft Wyclef Jean,Grace Kelly - Mika,Mercy - Duffy
You're Beautiful - James Blunt,I Don't Feel Like Dancin' - Scissor Sisters,When You Believe - Leon Jackson,I Kissed a Girl - Katy Perry
Don't Cha - Pussycat Dolls ft Busta Rhymes,I Wish I Was a Punk Rocker (With Flowers in My Hair) - Sandi Thom,Rule The World - Take That,Rockstar - Nickelback
Poker Face - Lady Gaga,Love the Way You Lie - Eminem ft Rihanna,Someone Like You - Adele,Somebody That I Used to Know - Gotye ft Kimbra
I Gotta Feeling - The Black Eyed Peas,When We Collide - Matt Cardle,Moves Like Jagger - Maroon 5 ft Christina Aguilera,Call Me Maybe - Carly Rae Jepsen
Just Dance - Lady Gaga,Just the Way You Are (Amazing) - Bruno Mars,Party Rock Anthem - LMFAO,We Are Young - Fun. ft Janelle Monáe
Fight for This Love - Cheryl Cole,Only Girl (In the World) - Rihanna,Price Tag - Jessie J ft B.o.B,Titanium - David Guetta ft Sia
The Climb - Joe McElderry,OMG - Usher ft will.i.am,We Found Love - Rihanna ft Calvin Harris,Impossible - James Arthur
Blurred Lines - Robin Thicke ft T.I. & Pharrell,Happy - Pharrell Williams,Uptown Funk - Mark Ronson ft Bruno Mars,One Dance - Drake
Get Lucky - Daft Punk ft Pharrell Williams,Rather Be - Clean Bandit ft Jess Glynne,Cheerleader (Felix Jaehn Remix) - OMI,7 Years - Lukas Graham
Wake Me Up - Avicii,All of Me - John Legend,Take Me to Church - Hozier,Cheap Thrills - Sia
Let Her Go - Passenger,Waves (Robin Schulz Remix) - Mr Probz,Love Me Like You Do - Ellie Goulding,I Took a Pill in Ibiza (Seeb Remix) - Mike Posner
La La La - Naughty Boy ft Sam Smith,Thinking Out Loud - Ed Sheeran,See You Again - Wiz Khalifa ft Charlie Puth,This Is What You Came For - Calvin Harris ft Rihanna
Shape of You - Ed Sheeran,One Kiss - Calvin Harris & Dua Lipa,Someone You Loved - Lewis Capaldi,Blinding Lights - The Weeknd
Despacito (Remix) - Luis Fonsi & Daddy Yankee ft Justin Bieber,God's Plan - Drake,Old Town Road - Lil Nas X,Dance Monkey - Tones & I
Castle on the Hill - Ed Sheeran,Shotgun - George Ezra,I Don't Care - Ed Sheeran & Justin Bieber,Roses (Imanbek Remix) - SAINt JHN
Unforgettable - French Montana ft Swae Lee,This Is Me - Keala Settle & The Greatest Showman Ensemble,bad guy - Billie Eilish,Before You Go - Lewis Capaldi
Galway Girl - Ed Sheeran,"These Days - Rudimental ft Jess Glynne, Macklemore & Dan Caplen",Giant - Calvin Harris & Rag'n'Bone Man,Head & Heart - Joel Corry
